Device,Brand,Price,EnergyClass
TSensor1,Bosch,45,A
MSensor1,Philips,35,A+
Speaker1,Sony,150,A
Speaker2,Sony,150,A
SmartTV1,Samsung,800,B
Shutter1,Generic,100,A
RoomLight1,Philips,25,A++
TSensor2,Bosch,45,A
MSensor2,Philips,35,A+
Speaker3,Sony,150,A
Speaker4,Sony,150,A
SmartTV2,Samsung,800,B
Shutter2,Generic,100,A
RoomLight2,Philips,25,A++
TSensor3,Bosch,45,A
SmartTV3,Samsung,800,B
RoomLight3,Philips,25,A++
Shutter3,Generic,100,A
MSensor3,Philips,35,A+
Shutter0,Generic,100,A
SmartTV0,Samsung,800,B
Speaker0,Sony,150,A
RoomLight0,Philips,25,A++
RoomLight4,Philips,25,A++
AirCondtioner1,Daikin,1200,A+++
AirCondtioner2,Daikin,1200,A+++
AirCondtioner3,Daikin,1200,A+++
AirCondtioner0,Daikin,1200,A+++
CoffeMachine,DeLonghi,450,A
Smart Hub,Google,170,A
MSensorEntry,Philips,35,A+
MSensor0,Philips,35,A+
MSensor4,Philips,35,A+
Smart Hub 1,Google,170,A
Smart Hub 3,Google,170,A
Smart Hub2,Google,170,A
Smart Hub 4,Google,170,A
Alarm1,Yale,120,A
Alarm0,Yale,120,A
SmokeSensor,Bosch,90,A
Tsensor0,Bosch,45,A
